Food,Type,Calories,Protein,Carbs,Fat,Meal
Oatmeal with Berries,Veg,300,10,50,6,Breakfast
Scrambled Eggs & Toast,Non-Veg,350,20,30,15,Breakfast
Greek Yogurt Parfait,Veg,250,15,30,5,Breakfast
Grilled Chicken Salad,Non-Veg,450,40,10,20,Lunch
Lentil Soup & Rice,Veg,400,18,60,8,Lunch
Paneer Wrap,Veg,380,15,40,18,Lunch
Salmon with Quinoa,Non-Veg,500,35,40,20,Dinner
Vegetable Stir Fry,Veg,350,10,50,12,Dinner
Chicken Breast & Veggies,Non-Veg,400,45,10,15,Dinner
Apple & Peanut Butter,Veg,200,4,25,10,Snacks
Protein Shake,Veg,150,25,5,2,Snacks
Almonds & Walnuts,Veg,180,6,6,16,Snacks
Boiled Eggs,Non-Veg,140,12,1,10,Snacks
Tofu Salad,Veg,320,20,15,18,Lunch
Fish Curry & Rice,Non-Veg,550,30,60,20,Lunch
Mushroom Risotto,Veg,450,12,65,15,Dinner
Turkey Sandwich,Non-Veg,380,25,35,12,Lunch
Fruit Salad,Veg,120,2,30,0,Snacks
